Title,Name
Self Portrait  (Early),spyros papaloukas
"Country fair, New England",childe hassam
A Breezy Day,charles courtney
Portrait En Buste De Trois-quart &#192; La Mode Du D&#233;but Du Xixeme Si&#232;cle,rembrandt peale
Sacra Famiglia coi Ss. Giovanni Battista e Margherita (detail),filippino lippi
The Pet Dove,daniel ridgway
Untitled (L. I112),sam francis
The Cornfield,john constable
In January,werner berg
Ready For The Ride,william merritt
Study for the trunks,ivan shishkin
Figure Study II,francis bacon
Portrait of Professor Beloborodov,kuzma petrov
Lulu,raphael kirchner
Forces at Play,denise green
Aristotle and Phyllis,hans baldung
Early Spring,aleksey savrasov
Summer,walter crane
Portrait charge,alphonse mucha
St. Jerome in his Study,albrecht durer
View of Moscow,maxim vorobiev
The gate Saint-Martin,maurice utrillo
Passage of the Jews through the Red Sea,ivan aivazovsky
Still Life,le corbusier
La Lutte,jacques villon
"John Russel, Sixth Duke of Bedford",jean auguste
Le Retour - C&#39;Est Ici Chez Nous,theophile steinlen
Young Ladies Looking at Japanese Objects,james tissot
Familiar Strangers,morteza katouzian
The lake of Hakone in the Segami province,katsushika hokusai
Allegorical Portrait of Dante,agnolo bronzino
Typographic proof for Fils Moderne,theophile steinlen
Mountain slope. Crimea,arkhip kuindzhi
Still life with baskets,yiannis tsaroychis
Gardens and Ararat,martiros sarian
Untitled (No. 11),mark rothko
Daytona,dana schutz
Study of God the Father,raphael
The French Fan,emil carlsen
Messengers of morning,nicholas roerich
Rose Nudes in a Landscape,harry phelan
Mountain Folk,ion theodorescu
Fortifications of Paris with Houses,vincent van
"Deauville, the Jetty",eugene boudin
Issa and giant&#39;s head,nicholas roerich
Chinita de El Play&#243;n,armando reveron
Pots with Pelargoniums,constantin piliuta
Le Calme des Passions n&#176;15,jules perahim
Self portrait as a boy,frederic leighton
The stoning of Stephen,fra angelico
The liberator,rene magritte
Anna Akhmatova Book Cover,evgeniy evgenevich
Declaration of love,sergey solomko
Betharam de Lourdes &#224; Pau,maxime lalanne
