Entity ID,Description,Creator Label,Input Text
http://www.wikidata.org/entity/Q18683148,N/A,Hyacinthe Rigaud,"Louis De France, Duc De Bourgogne"
http://www.wikidata.org/entity/Q18571352,N/A,William Turner,Goldau
http://www.wikidata.org/entity/Q112184306,N/A,Pierre Paul Rubens,Assumption of the Virgin
http://www.wikidata.org/entity/Q18748558,N/A,Giovanni Paolo Panini,Alexander the Great Cutting the Gordian Knot
http://www.wikidata.org/entity/Q119803518,N/A,Matthew Smith,Nude Half Length II
http://www.wikidata.org/entity/Q64640061,N/A,Winslow Homer,On the Trail
http://www.wikidata.org/entity/Q27970282,N/A,Leonardo da Vinči,Madonna with the Yarnwinder
http://www.wikidata.org/entity/Q81343504,N/A,Alfred Sisley,The Bridge at Argenteuil
http://www.wikidata.org/entity/Q28796683,N/A,Winslow Homer,Hudson river
http://www.wikidata.org/entity/Q119008120,N/A,George Romney,A Hand Holding a Letter
http://www.wikidata.org/entity/Q106879010,N/A,Pablo Picasso,Woman in blue
http://www.wikidata.org/entity/Q61627305,N/A,Remedios Varo,The Juggler
http://www.wikidata.org/entity/Q29384615,N/A,Antoine Watteau,Head of a Man
http://www.wikidata.org/entity/Q64512380,N/A,Man Ray,La Fortune
http://www.wikidata.org/entity/Q28541269,N/A,George Frederick Watts,"Augusta, Lady Castletown"
http://www.wikidata.org/entity/Q91350184,N/A,Carolus Duran,M. Berthon
http://www.wikidata.org/entity/Q28060902,N/A,Pieter Aertsen,Christ in the House of Martha and Mary
http://www.wikidata.org/entity/Q19923894,N/A,Thomas Eakins,Carmelita Requena
http://www.wikidata.org/entity/Q112196681,N/A,Ito Jakuchu,Roosters
http://www.wikidata.org/entity/Q19887547,N/A,Richard Hamilton,Glorious Techniculture
http://www.wikidata.org/entity/Q59496472,N/A,Robert Harris,Brackley Beach
http://www.wikidata.org/entity/Q20199105,N/A,Pablo Picasso,Standing female nude
http://www.wikidata.org/entity/Q59539017,N/A,Homer Watson,Down in the Laurentides
http://www.wikidata.org/entity/Q113600219,N/A,Joseph Anton Koch,Mountain Scene
